epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3118.05,0.54625,0.32161,0.95259,0.97801,0.92947,0.96496,0.78684,0.77041,0.38626,1.13571,0.000169908,0.000169908,0.000169908
91,3180.09,0.57425,0.28372,0.95056,0.98237,0.92368,0.96232,0.78207,0.77881,0.38317,1.15987,0.000155761,0.000155761,0.000155761
92,3210.27,0.5598,0.26937,0.93617,0.97443,0.93397,0.96511,0.78742,0.76569,0.37665,1.14589,0.000141614,0.000141614,0.000141614
93,3241.78,0.54899,0.26594,0.93958,0.97246,0.93321,0.96685,0.78337,0.78131,0.38209,1.15175,0.000127467,0.000127467,0.000127467
94,3275.17,0.53491,0.2637,0.92417,0.97616,0.93132,0.97017,0.78958,0.76916,0.37726,1.13839,0.00011332,0.00011332,0.00011332
95,3305.13,0.53981,0.25979,0.92464,0.9727,0.92714,0.96596,0.79102,0.77269,0.3797,1.14098,9.91726e-05,9.91726e-05,9.91726e-05
96,3336.37,0.53099,0.25774,0.9239,0.97915,0.92884,0.96972,0.79861,0.77168,0.37534,1.14543,8.50255e-05,8.50255e-05,8.50255e-05
97,3369.3,0.53587,0.25541,0.93331,0.98414,0.92985,0.9677,0.79399,0.76694,0.37552,1.13365,7.08784e-05,7.08784e-05,7.08784e-05
98,3401.1,0.52945,0.25703,0.92422,0.97642,0.93703,0.96629,0.79439,0.75805,0.3716,1.12835,5.67313e-05,5.67313e-05,5.67313e-05
99,3433.21,0.52612,0.25148,0.92313,0.97313,0.9323,0.96591,0.79385,0.75588,0.37068,1.12584,4.25842e-05,4.25842e-05,4.25842e-05
100,3464.47,0.50731,0.24832,0.92219,0.9811,0.92532,0.96551,0.79104,0.76023,0.37736,1.12798,2.84371e-05,2.84371e-05,2.84371e-05
